ID,City,Municipality,Neighborhood,Property_Type,Property_Subtype,Area,Rooms,Current_Floor,Total_Floors,Advertiser_Type,Photo_Count,Total_Price_EUR,Scrape_Date
5425646794928,Beograd,Vračar,Kalenić pijaca,flat,Stan,74.0,2.0 Broj soba,III,4 Spratnost,Agencija,15,309900.0,2026-06-21 15:44:37
5425645323700,Beograd,Palilula,Centar,flat,Stan,47.0,1.0 Broj soba,V,9 Spratnost,Agencija,6,185000.0,2026-06-21 15:44:37
5425646799644,Beograd,Novi Beograd,Blok 60,flat,Stan,112.0,4.0 Broj soba,IX,22 Spratnost,Agencija,1,386000.0,2026-06-21 15:44:37
5425646382023,Beograd,Zvezdara,Cvetkova pijaca,flat,Stan,77.0,3.0 Broj soba,IV,4 Spratnost,Agencija,1,269500.0,2026-06-21 15:44:37
5425646382022,Beograd,Zvezdara,Cvetkova pijaca,flat,Stan,61.0,2.0 Broj soba,II,4 Spratnost,Agencija,1,213500.0,2026-06-21 15:44:37
5425647163615,Beograd,Rakovica,Kneževac,flat,Stan,43.0,2.0 Broj soba,IV,6 Spratnost,Agencija,7,122000.0,2026-06-21 15:44:37
5425647163614,Beograd,Čukarica,Cerak vinogradi,flat,Stan,83.0,4.0 Broj soba,VI,6 Spratnost,Agencija,20,248000.0,2026-06-21 15:44:37
5425645828421,Beograd,Zvezdara,Veliki Mokri Lug,flat,Stan,53.64,2.5 Broj soba,I,3 Spratnost,Agencija,2,123370.0,2026-06-21 15:44:37
5425646867183,Beograd,Surčin,Surčin (mesto),flat,Stan,61.0,3.0 Broj soba,II,2 Spratnost,Agencija,8,128000.0,2026-06-21 15:44:37
5425646814815,Beograd,Savski venac,Dedinje,flat,Stan,98.0,3.0 Broj soba,VPR,2 Spratnost,Agencija,20,415000.0,2026-06-21 15:44:37
5425646949142,Beograd,Zemun,Novi grad,flat,Stan,33.0,1.0 Broj soba,PR,2 Spratnost,Agencija,12,99000.0,2026-06-21 15:44:37
5425647196776,Beograd,Zvezdara,Crveni krst,flat,Stan,66.0,3.0 Broj soba,VPR,5 Spratnost,Vlasnik,13,228000.0,2026-06-21 15:44:37
5425647196280,Beograd,Vračar,Gradić Pejton,flat,Stan,75.0,2.0 Broj soba,III,4 Spratnost,Agencija,11,300000.0,2026-06-21 15:44:37
5425647056881,Beograd,Vračar,Cvetni trg,flat,Stan,71.0,3.0 Broj soba,III,4 Spratnost,Agencija,8,375000.0,2026-06-21 15:44:37
5425647194124,Beograd,Vračar,Hram svetog Save,flat,Stan,167.0,4.0 Broj soba,I Spratnost,,Agencija,27,585000.0,2026-06-21 15:44:37
5425646947952,Beograd,Čukarica,Banovo brdo,flat,Stan,85.39,3.5 Broj soba,I Spratnost,,Agencija,2,293000.0,2026-06-21 15:44:37
5425647071152,Beograd,Rakovica,Petlovo brdo,flat,Stan,54.0,2.0 Broj soba,VPR,1 Spratnost,Agencija,5,145000.0,2026-06-21 15:44:37
5425647194113,Beograd,Voždovac,Dušanovac,flat,Stan,52.0,2.5 Broj soba,I Spratnost,,Agencija,6,145000.0,2026-06-21 15:44:37
5425645721798,Beograd,Vračar,Centar,flat,Stan,100.0,3.5 Broj soba,II,3 Spratnost,Agencija,9,470000.0,2026-06-21 15:44:37
5425647193920,Beograd,Novi Beograd,Blok 64,flat,Stan,72.01,3.0 Broj soba,VIII,9 Spratnost,Agencija,4,264997.0,2026-06-21 15:44:37
5425644132954,Beograd,Čukarica,Banovo brdo,flat,Stan,125.0,5+ Broj soba,IV,5 Spratnost,Agencija,20,250000.0,2026-06-21 15:44:37
5425645500701,Beograd,Zvezdara,Učiteljsko naselje,flat,Stan,52.0,2.5 Broj soba,PR,2 Spratnost,Agencija,8,320000.0,2026-06-21 15:44:37
5425646090841,Beograd,Vračar,Čubura,flat,Stan,89.0,3.0 Broj soba,PR,3 Spratnost,Agencija,3,449500.0,2026-06-21 15:44:37
5425646090731,Beograd,Vračar,Neimar,flat,Stan,151.0,4.0 Broj soba,II,3 Spratnost,Agencija,5,798818.0,2026-06-21 15:44:37
5425646090836,Beograd,Vračar,Bulevar kralja Aleksandra,flat,Stan,276.0,4.0 Broj soba,I,6 Spratnost,Agencija,3,800000.0,2026-06-21 15:44:37
5425646814095,Beograd,Novi Beograd,Tošin bunar,flat,Stan,70.0,3.0 Broj soba,III,6 Spratnost,Agencija,9,320000.0,2026-06-21 15:44:37
5425646406454,Beograd,Surčin,Ledine,flat,Stan,43.0,2.0 Broj soba,PR,2 Spratnost,Agencija,14,90500.0,2026-06-21 15:44:37
5425645587372,Beograd,Vračar,Kalenić pijaca,flat,Stan,95.0,3.5 Broj soba,III,4 Spratnost,Agencija,18,285000.0,2026-06-21 15:44:37
5425646544910,Beograd,Savski venac,Beograd na vodi,flat,Stan,120.0,4.0 Broj soba,XIII Spratnost,,Agencija,16,680000.0,2026-06-21 15:44:37
5425647194109,Beograd,Vračar,Centar,flat,Stan,46.0,2.0 Broj soba,I,4 Spratnost,Agencija,5,219000.0,2026-06-21 15:44:37
5425647194102,Beograd,Voždovac,Medaković 3,flat,Stan,50.0,2.0 Broj soba,IV Spratnost,,Agencija,12,155000.0,2026-06-21 15:44:37
5425646547448,Beograd,Voždovac,Trošarina,flat,Stan,168.77,5.0 Broj soba,VIII Spratnost,,Agencija,20,556940.0,2026-06-21 15:44:37
5425646547549,Beograd,Voždovac,Trošarina,flat,Stan,166.58,4.0 Broj soba,VIII Spratnost,,Agencija,19,549714.0,2026-06-21 15:44:37
5425647193906,Beograd,Palilula,Karaburma,flat,Stan,38.0,1.0 Broj soba,PR,2 Spratnost,Agencija,8,117000.0,2026-06-21 15:44:37
5425646233174,Beograd,Zvezdara,Vukov Spomenik,flat,Stan,92.0,3.5 Broj soba,V,5 Spratnost,Agencija,7,445000.0,2026-06-21 15:44:37
5425646946640,Beograd,Palilula,Karaburma,flat,Stan,124.0,5.0 Broj soba,,,Agencija,9,382074.0,2026-06-21 15:44:37
